Port;TCP;UDP;Description
7788;Unofficial;Unofficial;Unreal Tournament series default server
7831;Unofficial;Unofficial;Default used by Smartlaunch Internet Cafe Administration software
7880;Unofficial;Unofficial;PowerSchool Gradebook Server
7890;Unofficial;Unofficial;Default that will be used by the iControl Internet Cafe Suite Administration software
7915;Unofficial;Unofficial;Default for YSFlight server
7935;Unofficial;Unofficial;Fixed port used for Adobe Flash Debug Player to communicate with a debugger (Flash IDE, Flex Builder or fdb).
7946;Unofficial;Unofficial;Docker Swarm communication among nodes
7979;Unofficial;Unofficial;Used by SilverBluff Studios for communication between servers and clients.
7990;Unofficial;Unofficial;Atlassian Bitbucket (default port)
8000;Unofficial;Unofficial;Commonly used for Internet radio streams such as SHOUTcast, Icecast and iTunes Radio / DynamoDB Local / Django Development Webserver / Python 3 http.server
8005;Unofficial;Unofficial;Tomcat remote shutdown / PLATO ASCII protocol (RFC 600) / Windows SCCM HTTP listener service
8006;Unofficial;Unofficial;Quest AppAssure 5 API / Proxmox Virtual Environment admin web interface
8007;Unofficial;Unofficial;Quest AppAssure 5 Engine
8007;Yes;Yes;Proxmox Backup Server admin web interface
8008;Unofficial;Unofficial;Alternative port for HTTP. See also ports 80 and 8080 / IBM HTTP Server administration default / iCal, a calendar application by Apple / Matrix homeserver federation over HTTP
8009;Unofficial;Unofficial;Apache JServ Protocol (ajp13)
8010;Unofficial;No;Buildbot web status page
8042;Unofficial;Unofficial;Orthanc REST API over HTTP
8069;Unofficial;Unofficial;OpenERP 5.0 XML-RPC protocol
8070;Unofficial;Unofficial;OpenERP 5.0 NET-RPC protocol
8074;Yes;Yes;Gadu-Gadu
8075;Unofficial;Unofficial;Killing Floor web administration interface
8080;Yes;Yes;Alternative port for HTTP. See also ports 80 and 8008 / Apache Tomcat / Atlassian JIRA applications
8081;Yes;Yes;Sun Proxy Admin Service
8088;Unofficial;Unofficial;Asterisk management access via HTTP / YARN ResourceManager Web UI
8089;Unofficial;No;Splunk daemon management / Fritz!Box automatic TR-069 configuration
8090;Unofficial;Unofficial;Atlassian Confluence / Coral Content Distribution Network (legacy
8091;Unofficial;Unofficial;CouchBase web administration
8092;Unofficial;Unofficial;CouchBase API
8096;Unofficial;Unofficial;Emby and Jellyfin HTTP port
8111;Unofficial;Unofficial;JOSM Remote Control
8112;Unofficial;Unofficial;PAC Pacifica Coin
8116;Unofficial;Unofficial;Check Point Cluster Control Protocol
8118;Yes;Yes;Privoxy advertisement-filtering Web proxy
8123;Unofficial;Unofficial;Polipo Web proxy / Home Assistant Home automation / BURST P2P
8124;Unofficial;Unofficial;Standard BURST Mining Pool Software Port
8125;Unofficial;Unofficial;BURST Web Interface
8139;Unofficial;Unofficial;Puppet (software) Client agent
8140;Yes;Yes;Puppet (software) Master server
8172;Unofficial;Unofficial;Microsoft Remote Administration for IIS Manager
8184;Unofficial;Unofficial;NCSA Brown Dog Data Access Proxy
8194;Yes;Yes;Bloomberg Terminal
8195;Yes;Yes;Bloomberg Terminal
8200;Unofficial;Unofficial;GoToMyPC / MiniDLNA media server Web Interface
8222;Unofficial;Unofficial;VMware VI Web Access via HTTP
8236;Unofficial;Unofficial;jRCS listener for Rocket Software jBASE Remote Connectivity Server
8243;Yes;Yes;HTTPS listener for Apache Synapse
8245;Unofficial;Unofficial;Dynamic DNS for at least No-IP and DynDNS
8280;Yes;Yes;HTTP listener for Apache Synapse
8281;Unofficial;Unofficial;HTTP Listener for Gatecraft Plugin
8291;Unofficial;Unofficial;Winbox Default on a MikroTik RouterOS for a Windows application used to administer MikroTik RouterOS
8303;Unofficial;Unofficial;Teeworlds Server
8332;Unofficial;Unofficial;Bitcoin JSON-RPC server
8333;Unofficial;Unofficial;Bitcoin / VMware VI Web Access via HTTPS
8334;Unofficial;Unofficial;Filestash server (default)
8337;Unofficial;Unofficial;VisualSVN Distributed File System Service (VDFS)
8384;Unofficial;Unofficial;Syncthing web GUI
8388;Unofficial;Unofficial;Shadowsocks proxy server
8400;Yes;Yes;Commvault Communications Service (GxCVD, found in all client computers)
8401;Yes;Yes;Commvault Server Event Manager (GxEvMgrS, available in CommServe)
8403;Yes;Yes;Commvault Firewall (GxFWD, tunnel port for HTTP/HTTPS)
8443;Unofficial;Unofficial;SW Soft Plesk Control Panel / Apache Tomcat SSL / Promise WebPAM SSL / iCal over SSL / MineOs WebUi
8444;Unofficial;Unofficial;Bitmessage / Chia
8448;Yes;Yes;Matrix homeserver federation over HTTPS
8484;Unofficial;Unofficial;MapleStory Login Server
8500;Unofficial;Unofficial;Adobe ColdFusion built-in web server
8530;Unofficial;Unofficial;Windows Server Update Services over HTTP, when using the default role installation settings in Windows Server 2012 and later versions.
8531;Unofficial;Unofficial;Windows Server Update Services over HTTPS, when using the default role installation settings in Windows Server 2012 and later versions.
8555;Unofficial;Unofficial;Symantec DLP OCR Engine / Chia JSON-RPC server
8580;Unofficial;Unofficial;Freegate, an Internet anonymizer and proxy tool
8611;Yes;Yes;Canon BubbleJet Network Protocol
8612;Yes;Yes;Canon BubbleJet Network Protocol
8613;Yes;Yes;Canon BubbleJet Network Protocol
8614;Yes;Yes;Canon BubbleJet Network Protocol
8629;Unofficial;Unofficial;Tibero database
8642;Unofficial;Unofficial;Lotus Notes Traveler auto synchronization for Windows Mobile and Nokia devices
8691;Unofficial;Unofficial;Ultra Fractal, a fractal generation and rendering software application distributed calculations over networked computers
8765;Unofficial;No;Default port of a local GUN relay peer that the Internet Archive and others use as a decentralized mirror for censorship resistance.
8767;Unofficial;Unofficial;Voice channel of TeamSpeak 2, a proprietary Voice over IP protocol targeted at gamers
8834;Unofficial;Unofficial;Nessus, a vulnerability scanner remote XML-RPC web server
8840;Unofficial;Unofficial;Opera Unite, an extensible framework for web applications
8880;Yes;Yes;Alternate port of CDDB (Compact Disc Database) protocol, used to look up audio CD (compact disc) information over the Internet. See also port 888. / IBM WebSphere Application Server SOAP connector
8883;Yes;Yes;Secure MQTT (MQTT over TLS)
8887;Unofficial;Unofficial;HyperVM over HTTP
8888;Unofficial;Unofficial;HyperVM over HTTPS / Freenet web UI (localhost only) / Default for IPython / Jupyter notebook dashboards / MAMP
8889;Unofficial;Unofficial;MAMP
8920;Unofficial;Unofficial;Jellyfin HTTPS port
8983;Unofficial;Unofficial;Apache Solr
8997;Unofficial;Unofficial;Alternate port for I2P Monotone Proxy
8998;Unofficial;Unofficial;I2P Monotone Proxy
8999;Unofficial;Unofficial;Alternate port for I2P Monotone Proxy
9000;Unofficial;Unofficial;SonarQube Web Server / ClickHouse default port / DBGp / SqueezeCenter web server & streaming / UDPCast / Play Framework web server / Hadoop NameNode default port / PHP-FPM default port / QBittorrent's embedded torrent tracker default port
9001;Yes;Yes;ETL Service Manager / Microsoft SharePoint authoring environment / cisco-xremote router configuration / Tor network default / DBGp Proxy / HSQLDB default port
9002;Unofficial;Unofficial;Newforma Server comms
9006;Reserved;Reserved;
9006;Unofficial;Unofficial;Tomcat in standalone mode
9030;Unofficial;Unofficial;Tor often used
9042;Unofficial;Unofficial;Apache Cassandra native protocol clients
9043;Unofficial;Unofficial;WebSphere Application Server Administration Console secure
9050;Unofficial;Unofficial;Tor (SOCKS-5 proxy client)
9051;Unofficial;Unofficial;Tor (SOCKS-5 proxy client)
9060;Unofficial;Unofficial;WebSphere Application Server Administration Console
9080;Yes;Yes;glrpc, Groove Collaboration software GLRPC / WebSphere Application Server HTTP Transport (port 1) default / Remote Potato by FatAttitude, Windows Media Center addon / ServerWMC, Windows Media Center addon
9081;Unofficial;Unofficial;Zerto ZVM to ZVM communication
9090;Unofficial;Unofficial;Prometheus metrics server / Openfire Administration Console / SqueezeCenter control (CLI) / Cherokee Admin Panel
9091;Unofficial;Unofficial;Openfire Administration Console (SSL Secured) / Transmission (BitTorrent client) Web Interface
9092;Unofficial;Unofficial;H2 (DBMS) Database Server / Apache Kafka A Distributed Streaming Platform
9100;Yes;Assigned;PDL Data Stream, used for printing to certain network printers
9101;Yes;Yes;Bacula Director
9102;Yes;Yes;Bacula File Daemon
9103;Yes;Yes;Bacula Storage Daemon
9119;Yes;Yes;MXit Instant Messenger
9150;Unofficial;Unofficial;Tor Browser
9191;Unofficial;Unofficial;Sierra Wireless Airlink
9199;Unofficial;Unofficial;Avtex LLC qStats
9200;Unofficial;Unofficial;Elasticsearch default Elasticsearch port
9217;Unofficial;Unofficial;iPass Platform Service
9293;Unofficial;Unofficial;Sony PlayStation RemotePlay
9295;Unofficial;Unofficial;Sony PlayStation Remote Play Session creation communication port
9296;Unofficial;Unofficial;Sony PlayStation Remote Play
9897;Unofficial;Unofficial;Sony PlayStation Remote Play Video stream
9300;Unofficial;Unofficial;IBM Cognos BI
9303;Unofficial;Unofficial;D-Link Shareport Share storage and MFP printers
9306;Yes;Yes;Sphinx Native API
9309;Unofficial;Unofficial;Sony PlayStation Vita Host Collaboration WiFi Data Transfer
9312;Yes;Yes;Sphinx SphinxQL
9332;Unofficial;Unofficial;Litecoin JSON-RPC server
9333;Unofficial;Unofficial;Litecoin
9339;Unofficial;Unofficial;Used by all Supercell games such as Brawl Stars and Clash of Clans, mobile freemium strategy video games
9389;Yes;Yes;adws, Microsoft AD DS Web Services, Powershell uses this port
9392;Unofficial;No;OpenVAS Greenbone Security Assistant web interface
9418;Yes;Yes;git, Git pack transfer service
9419;Unofficial;Unofficial;MooseFS distributed file system master control port
9420;Unofficial;Unofficial;MooseFS distributed file system master command port
9421;Unofficial;Unofficial;MooseFS distributed file system master client port
9422;Unofficial;Unofficial;MooseFS distributed file system Chunkservers
9425;Unofficial;Unofficial;MooseFS distributed file system CGI server
9443;Unofficial;Unofficial;VMware Websense Triton console (HTTPS port used for accessing and administrating a vCenter Server via the Web Management Interface) / NCSA Brown Dog Data Tilling Service
9535;Yes;Yes;mngsuite, LANDesk Management Suite Remote Control
9536;Yes;Yes;laes-bf, IP Fabrics Surveillance buffering function
9600;No;Unofficial;Factory Interface Network Service (FINS), a network protocol used by Omron programmable logic controllers
9669;Unofficial;No;VGG Image Search Engine VISE
9675;Unofficial;Unofficial;Spiceworks Desktop, IT Helpdesk Software
9676;Unofficial;Unofficial;Spiceworks Desktop, IT Helpdesk Software
9695;Yes;Yes;Content centric networking (CCN, CCNx)
9735;Unofficial;Unofficial;Bitcoin Lightning Network
9785;Unofficial;Unofficial;Viber
9800;Yes;Yes;WebDAV Source / WebCT e-learning portal
9875;Unofficial;Unofficial;Club Penguin Disney online game for kids
9898;Unofficial;Unofficial;Tripwire File Integrity Monitoring Software
9899;Yes;Yes;SCTP tunneling (port number used in SCTP packets encapsulated in UDP, RFC 6951)
9901;Unofficial;Unofficial;Banana for Apache Solr
9981;Unofficial;Unofficial;Tvheadend HTTP server (web interface)
9982;Unofficial;Unofficial;Tvheadend HTSP server (Streaming protocol)
9987;Unofficial;No;TeamSpeak 3 server default (voice) port (for the conflicting service see the IANA list)
9993;Unofficial;Unofficial;ZeroTier Default port for ZeroTier
9997;Unofficial;Unofficial;Splunk port for communication between the forwarders and indexers
9999;Unofficial;Unofficial;Urchin Web Analytics
9999;Unofficial;Unofficial;Dash (cryptocurrency)
10000;Yes;Yes;Network Data Management Protocol (NDMP) Control stream for network backup and restore. / BackupExec / Webmin, Web-based Unix/Linux system administration tool (default port)
10000;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10001;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10002;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10003;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10004;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10005;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10006;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10007;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10008;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10009;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10010;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10011;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10012;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10013;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10014;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10015;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10016;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10017;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10018;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10019;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10020;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10021;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10022;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10023;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10024;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10025;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10026;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10027;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10028;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10029;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10030;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10031;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10032;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10033;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10034;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10035;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10036;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10037;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10038;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10039;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10040;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10041;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10042;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10043;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10044;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10045;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10046;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10047;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10048;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10049;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10050;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10051;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10052;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10053;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10054;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10055;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10056;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10057;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10058;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10059;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10060;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10061;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10062;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10063;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10064;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10065;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10066;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10067;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10068;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10069;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10070;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10071;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10072;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10073;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10074;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10075;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10076;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10077;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10078;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10079;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10080;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10081;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10082;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10083;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10084;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10085;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10086;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10087;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10088;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10089;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10090;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10091;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10092;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10093;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10094;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10095;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10096;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10097;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10098;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10099;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10100;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
10101;No;Unofficial;Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.
